analysis_type,cancer_type,research_area,study_type,data_source,cbioportal_usage_summary,specific_datasets,confidence,paper_id,title,year,classified_date
"['Gene expression analysis', 'Other']",['Prostate cancer'],"['Drug response/resistance', 'Methods/Tools development']",['Original research'],['Custom/Private data'],"Based on the provided abstract and introduction, there is no explicit mention of cBioPortal usage in this study. This is an in vitro experimental study using CRISPR-Cas9 knockout cell lines to evaluate drug combinations in BRCA-mutated prostate cancer models. The paper may cite cBioPortal in the references for background information on BRCA mutations in prostate cancer, but no direct use of the platform for data analysis or retrieval is described in the provided text.",[],low,41236806,Combined DNA-PK and PARP Inhibition as a Therapeutic Strategy in BRCA-Mutated Prostate Cancer: An in Vitro Pilot Study.,2025,2025-12-19T01:39:51.357534
"['Mutation analysis', 'Copy number analysis', 'Gene expression analysis', 'Survival analysis', 'Pathway analysis', 'Multi-omics integration']","['Pan-cancer', 'Other solid tumor']","['Biomarker discovery', 'Drug response/resistance', 'Immunotherapy', 'Precision medicine']",['Original research'],"['TCGA', 'Multiple sources']","cBioPortal was used to perform comprehensive pan-cancer genomic profiling of GCKR, including mutation frequency analysis, variant type characterization, and expression pattern mapping across multiple cancer types. The platform enabled the identification of recurrent GCKR alterations with highest frequencies in sarcoma (SARC) and uterine corpus endometrial carcinoma (UCEC), and missense mutations in breast cancer (BRCA). Additionally, cBioPortal facilitated the integration of multiomics data including genomic alterations, gene expression, and clinical outcomes across cancer types including KIRP, LUAD, and gastric cancer.","['TCGA-SARC', 'TCGA-UCEC', 'TCGA-BRCA', 'TCGA-KIRP', 'TCGA-LUAD']",high,41235343,Glucokinase Regulatory Protein (GCKR) Links Metabolic Reprogramming With Immune Exclusion: Insights From a Pan-Cancer Analysis and Gastric Cancer Validation.,2025,2025-12-19T01:39:58.333446
"['Gene expression analysis', 'Survival analysis', 'Pathway analysis', 'Multi-omics integration']",['Lung cancer'],"['Biomarker discovery', 'Drug response/resistance', 'Pathway analysis', 'Precision medicine']",['Original research'],['TCGA'],"Based on the abstract, cBioPortal was likely used to access and analyze TCGA-LUAD genomic and clinical data for the integrative multi-omics analysis. The platform would have facilitated the retrieval of gene expression data, clinical outcomes, and potentially other molecular data types needed to identify ANLN as a prognostic marker and establish the fatty acid metabolism-related gene signature. However, specific details about cBioPortal usage are not explicitly mentioned in the provided abstract and introduction.",['TCGA-LUAD'],low,41229797,Integrative analysis of fatty acid metabolism and identification of <i>ANLN</i> as a novel prognostic marker in lung adenocarcinoma.,2025,2025-12-19T01:40:04.920845
"['Gene expression analysis', 'Survival analysis', 'Pathway analysis', 'Multi-omics integration']",['Breast cancer'],"['Biomarker discovery', 'Pathway analysis']",['Original research'],['TCGA'],"The study utilized cBioPortal to access and analyze genomic and clinical data from 1218 breast cancer tumors from The Cancer Genome Atlas (TCGA). The platform was used to examine SPDEF mRNA expression patterns across different breast cancer subtypes, demographic groups, and to correlate expression with survival outcomes. Additionally, cBioPortal likely facilitated the analysis of promoter methylation patterns, DNMT expression, and co-expression analysis with various gene panels related to luminal differentiation, basal identity, EMT, proliferation, DNA repair, and immune signaling.",['TCGA-BRCA'],high,41228349,Assessing the Tumor Suppressive Impact and Regulatory Mechanisms of SPDEF Expression in Breast Cancer.,2025,2025-12-19T01:40:10.664199
['Other'],"['Breast cancer', 'Pancreatic cancer']","['Biomarker discovery', 'Methods/Tools development']","['Original research', 'Methods/Software']",['Custom/Private data'],"Based on the abstract and introduction provided, there is no clear indication that cBioPortal was directly used in this study. The paper focuses on analyzing nucleosome enrichment patterns in cell-free DNA using ATAC-seq data and machine learning (XGBoost) for cancer detection. The study appears to primarily use custom cfDNA sequencing data and open chromatin data rather than cBioPortal resources.",[],low,41225146,Open chromatin-guided interpretable machine learning reveals cancer-specific chromatin features in cell-free DNA.,2025,2025-12-19T01:40:16.843514
"['Gene expression analysis', 'Survival analysis', 'Pathway analysis', 'Multi-omics integration']",['Other solid tumor'],"['Biomarker discovery', 'Drug response/resistance', 'Pathway analysis']",['Original research'],"['TCGA', 'Multiple sources']","The study integrated data from TCGA to analyze CHRNA3, CHRNA5, and CHRNA7 expression in head and neck cancer (HNC) and oral squamous cell carcinoma (OSCC). The authors used bioinformatic analyses of TCGA data alongside other databases (DepMap, Puram 2017) to assess gene expression patterns, correlations with EMT markers, prognostic implications, and associations with drug sensitivity. While cBioPortal is not explicitly mentioned by name in the abstract, TCGA data access for cancer genomics studies of this nature typically utilizes cBioPortal as a primary analysis platform.",['TCGA-HNSC'],medium,41201200,"The Biological and Prognostic Implications of the Nicotinic Acetylcholine Receptor α3, α5, and α7 Subunits in Oral Squamous Cell Carcinoma.",2025,2025-12-19T01:40:23.790867
"['Gene expression analysis', 'Pathway analysis']",['Breast cancer'],"['Biomarker discovery', 'Methods/Tools development']",['Original research'],['Multiple sources'],"Based on the abstract, this paper analyzes existing bulk and single-cell transcriptomic data from human breast cancers to identify age-associated differences in cell states. The authors developed a novel ASPEN (Age-Specific Program ENrichment) analysis pipeline to reveal age-related changes in estrogen receptor-positive and triple-negative breast cancers. While cBioPortal is cited, the specific usage details are not provided in the abstract, suggesting it may have been used as a source for bulk transcriptomic data or for validation purposes.",['Not specified in abstract'],medium,41188599,Cell populations in human breast cancers are molecularly and biologically distinct with age.,2025,2025-12-19T01:40:29.550437
"['Gene expression analysis', 'Survival analysis', 'Pathway analysis']",['Melanoma'],"['Biomarker discovery', 'Drug response/resistance', 'Immunotherapy', 'Methods/Tools development']",['Original research'],['Multiple sources'],"Based on the abstract and introduction provided, there is no explicit mention of cBioPortal usage in this study. The paper describes using publicly available single-cell RNA-sequencing data from melanoma patients and validation with bulk RNA-seq data, but does not specifically reference cBioPortal as a data source or analysis platform. The citation of cBioPortal may be in the references as a general resource rather than as a primary tool used in the analysis.",[],low,41185627,Uncovering Cellular Interactome Drivers of Immune Checkpoint Inhibitor Response in Advanced Melanoma Patients.,2025,2025-12-19T01:40:35.327037
"['Mutation analysis', 'Gene expression analysis', 'Pathway analysis']",['Glioma/Brain cancer'],"['Biomarker discovery', 'Pathway analysis', 'Tumor evolution']",['Original research'],['Custom/Private data'],"Based on the abstract and introduction provided, cBioPortal was likely used to identify and validate the occurrence of FGFR1 mutations in familial and sporadic cases of low-grade glioneuronal tumors. The platform may have been utilized to analyze mutation patterns and frequencies of FGFR1 alterations (particularly the hotspot mutations N546K, K656E, and the R661P variant) across brain tumor datasets. However, the specific details of cBioPortal usage are not explicitly described in the provided text.",[],medium,41174249,Concurrence of FGFR1 mutations modulates oncogenesis in glioneuronal tumors.,2025,2025-12-19T01:40:41.533117
"['Mutation analysis', 'Copy number analysis']",['Glioma/Brain cancer'],"['Biomarker discovery', 'Precision medicine']","['Original research', 'Clinical study']",['Custom/Private data'],"Based on the abstract and introduction provided, the specific usage of cBioPortal in this study is not explicitly described. The paper focuses on whole genome sequencing analysis of germline predisposition in 92 glioblastoma patients using paired tumor-normal WGS data. cBioPortal may have been cited as a reference resource or for comparative analysis, but the primary analysis appears to be based on the authors' own WGS dataset rather than data retrieved from cBioPortal.",[],low,41168197,Whole genome sequencing-based analysis of genetic predisposition to adult glioblastoma.,2025,2025-12-19T01:40:47.372208
"['Gene expression analysis', 'Survival analysis', 'Multi-omics integration']",['Breast cancer'],"['Biomarker discovery', 'Drug response/resistance', 'Immunotherapy']",['Original research'],"['TCGA', 'Custom/Private data', 'Multiple sources']","The study utilized cBioPortal to access and analyze multi-omics data from The Cancer Genome Atlas (TCGA) breast cancer cohorts to identify genes associated with low T cell infiltration. The authors likely used cBioPortal to examine THSD4 gene expression patterns across breast cancer subtypes, particularly hormone receptor-positive tumors, and to correlate expression with immune infiltration and clinical outcomes. This analysis was combined with data from the I-SPY2 clinical trial to identify THSD4 as a mediator of T cell exclusion and anti-PD-1 resistance.","['TCGA breast cancer', 'TCGA-BRCA']",medium,41153058,THSD4 is a novel mediator of T cell exclusion and anti-PD-1 resistance in hormone receptor-positive breast cancer.,2025,2025-12-19T01:40:53.780129
"['Mutation analysis', 'Gene expression analysis', 'Survival analysis', 'Multi-omics integration']","['Pan-cancer', 'Other solid tumor']","['Biomarker discovery', 'Immunotherapy']",['Original research'],"['TCGA', 'Multiple sources']","cBioPortal was used to analyze the relationship between AARS1/2 expression and clinical features as well as mutational landscape across 33 cancer types. The platform was specifically utilized alongside the GSCA database to examine mutation spectra and correlate genetic alterations with clinical outcomes in pan-cancer analysis, with particular focus on urologic neoplasms including bladder urothelial carcinoma (BLCA).",['TCGA'],high,41145757,Multi-omics analysis revealed heterogeneity of AARS1 and AARS2 in pan-cancer and identified AARS1 as a potential prognostic biomarker for urologic neoplasms.,2025,2025-12-19T01:40:59.351565
"['Mutation analysis', 'Other']",['Other solid tumor'],"['Immunotherapy', 'Biomarker discovery', 'Methods/Tools development']",['Original research'],"['Multiple sources', 'Custom/Private data']","Based on the abstract, the authors used publicly available human cutaneous squamous cell carcinoma (cSCC) datasets to assess the frequency of shared mutations between patients. While cBioPortal is cited, the specific details of how it was used are not explicitly described in the provided abstract and introduction. The analysis appears to have been used to establish the rationale that shared neoantigens are rare in cSCC, supporting the need for personalized neoantigen vaccines.",[],medium,41125532,Structural changes from wild-type define tumor-rejecting neoantigens.,2025,2025-12-19T01:41:05.470560
"['Gene expression analysis', 'Pathway analysis']",['Other solid tumor'],"['Biomarker discovery', 'Pathway analysis']",['Original research'],['Not specified'],"Based on the abstract and introduction provided, there is no explicit mention of cBioPortal usage in this study. The paper focuses on network toxicology, Mendelian Randomization analysis, and molecular docking to investigate BPA's effects on ovarian cancer. While the paper cites cBioPortal, the specific usage details are not described in the provided text.",[],low,41108004,Investigating the potential causal link between BPA and ovarian carcinogenesis: a network toxicology and mendelian randomization study on the CTRC/PRDX1/SKP1 pathway.,2025,2025-12-19T01:42:15.586447
"['Gene expression analysis', 'Survival analysis', 'Pathway analysis']",['Breast cancer'],"['Drug response/resistance', 'Pathway analysis', 'Biomarker discovery']",['Original research'],"['TCGA', 'METABRIC']","The study used cBioPortal to perform bioinformatic analysis of breast cancer datasets, specifically examining gene expression patterns and survival outcomes related to radiation resistance and metastasis in triple-negative breast cancer. The authors likely queried TCGA and METABRIC breast cancer cohorts through cBioPortal to validate their experimental findings regarding ITGB3, HNRNPL, and associated RNA metabolism pathways.","['TCGA-BRCA', 'METABRIC']",medium,41105760,Resistance to radiation enhances metastasis by altering RNA metabolism.,2025,2025-12-19T01:42:21.021837
"['Mutation analysis', 'Copy number analysis']","['Pan-cancer', 'Lung cancer', 'Breast cancer', 'Colorectal cancer', 'Prostate cancer', 'Melanoma', 'Glioma/Brain cancer', 'Other solid tumor']","['Biomarker discovery', 'Precision medicine']","['Original research', 'Meta-analysis']","['GENIE', 'MSK-IMPACT', 'Multiple sources']","This study performed a meta-analysis of two large targeted panel sequencing cohorts (275,605 samples across 14 cancer types) to identify differences in somatic alterations across genetic ancestries. The authors analyzed mutation patterns including TERT promoter mutations, clinically actionable alterations (ERBB2, MET), and driver alterations, comparing frequencies across patients of African, East Asian, and European ancestry. cBioPortal was likely used to access and analyze the GENIE and MSK-IMPACT datasets, which are major data sources hosted on the platform.","['GENIE', 'MSK-IMPACT']",medium,41102416,Meta-analysis reveals differences in somatic alterations by genetic ancestry across common cancers.,2025,2025-12-19T01:42:27.420822
"['Mutation analysis', 'Gene expression analysis', 'Multi-omics integration', 'Pathway analysis']",['Other solid tumor'],"['Methods/Tools development', 'Drug response/resistance', 'Biomarker discovery']","['Methods/Software', 'Original research']",['Not specified'],"Based on the abstract and introduction provided, cBioPortal is cited as a reference but specific usage details are not described in these sections. The paper focuses on developing GETgene-AI framework that integrates mutational frequency data (G List), differential expression data (E List), and known drug targets (T List), which are data types available through cBioPortal, but the exact role of cBioPortal in data acquisition is not explicitly stated in the provided text.",[],low,41089657,GETgene-AI: a framework for prioritizing actionable cancer drug targets.,2025,2025-12-19T01:42:33.588434
"['Mutation analysis', 'Survival analysis', 'Pathway analysis']",['Other solid tumor'],"['Biomarker discovery', 'Pathway analysis', 'Precision medicine']","['Original research', 'Clinical study']","['TCGA', 'Custom/Private data']","The study used cBioPortal to access and validate findings against The Cancer Genome Atlas (TCGA) datasets for papillary thyroid carcinoma. The authors likely utilized cBioPortal to analyze mutation patterns, mutual exclusivity relationships between BRAF and RET/NRAS mutations, and to validate their single-center findings (72 PTC cases) against larger TCGA cohorts. This validation approach helped establish the generalizability of their mutation-guided prognostic framework.","['TCGA thyroid cancer', 'TCGA-THCA']",medium,41089282,Mutation interactions of BRAF and TP53 define novel prognostic stratification and therapeutic implications in papillary thyroid carcinoma.,2025,2025-12-19T01:42:40.558611
"['Gene expression analysis', 'Pathway analysis', 'Multi-omics integration']",['Breast cancer'],"['Drug response/resistance', 'Pathway analysis', 'Precision medicine', 'Biomarker discovery']",['Original research'],['Not specified'],"Based on the abstract and introduction provided, there is no explicit mention of cBioPortal usage in this study. The paper focuses on experimental validation of ME2 knockdown in TNBC models using in vitro cell lines, xenograft models, metabolomics, and transcriptomics approaches, along with crystal structure determination. cBioPortal may have been cited in the references for background information or validation purposes, but specific usage is not described in the provided text.",[],low,41088330,"Interplay between malic enzyme 2, de novo serine synthesis, and the malate-aspartate shuttle drives metabolic adaptation in triple-negative breast cancer.",2025,2025-12-19T01:42:46.631887
['Gene expression analysis'],"['Glioma/Brain cancer', 'Other solid tumor']","['Immunotherapy', 'Biomarker discovery']",['Original research'],['Not specified'],"Based on the provided abstract and introduction, there is no explicit mention of cBioPortal usage in this study. The research focuses on immunohistochemical assessment of CLDN6 expression in tissue samples and experimental CAR T-cell therapy models. cBioPortal may have been cited in the references but its specific use in data analysis or validation is not described in the provided text.",[],low,41073135,Claudin 6 is a suitable target for CAR T-cell therapy in atypical teratoid/rhabdoid brain tumors and other pediatric solid tumors.,2025,2025-12-19T01:42:52.027579
['Other'],['Pan-cancer'],"['Review/Commentary', 'Drug response/resistance', 'Precision medicine']",['Review'],['Not specified'],"This is a comprehensive review article on PRMT5 inhibitors and therapeutic strategies. Based on the abstract and introduction provided, there is no explicit description of cBioPortal usage in the study. The paper appears to cite cBioPortal as a reference resource rather than actively using it for data analysis or visualization.",[],low,41072789,"Cracking PRMT5: Mechanistic insights, clinical advances, and AI-driven strategies.",2025,2025-12-19T01:42:57.456750
"['Gene expression analysis', 'Survival analysis', 'Multi-omics integration']",['Other solid tumor'],"['Biomarker discovery', 'Drug response/resistance', 'Pathway analysis']",['Original research'],"['TCGA', 'Custom/Private data']","Based on the abstract and introduction provided, the specific usage of cBioPortal is not explicitly detailed. However, given the study's focus on hepatocellular carcinoma with integrated bulk and single-cell RNA-Seq analyses, survival analysis, and correlation with genomic instability and patient prognosis, cBioPortal was likely used to access TCGA-HCC datasets for validation of gene expression patterns, survival outcomes, and potentially genomic alterations associated with the identified lncRNAs and splicing factors.",['TCGA-LIHC'],medium,41068948,A novel lncRNA-mediated signaling axis governs cancer stemness and splicing reprogramming in hepatocellular carcinoma with therapeutic potential.,2025,2025-12-19T01:43:03.691116
"['Mutation analysis', 'Other']",['Other solid tumor'],"['Tumor evolution', 'Methods/Tools development', 'Biomarker discovery']",['Original research'],['Custom/Private data'],"Based on the abstract and introduction provided, cBioPortal appears to be cited as a reference but specific usage details are not described in these sections. The study primarily uses custom ultradeep duplex DNA sequencing data from normal bladder samples rather than cBioPortal datasets. cBioPortal may have been used for comparative analysis or validation purposes, but this cannot be confirmed from the provided text.",[],low,41062697,Sex and smoking bias in the selection of somatic mutations in human bladder.,2025,2025-12-19T01:43:09.857171
"['Mutation analysis', 'Gene expression analysis', 'Pathway analysis', 'Multi-omics integration']",['Breast cancer'],"['Biomarker discovery', 'Pathway analysis', 'Precision medicine']",['Original research'],"['TCGA', 'Multiple sources']","cBioPortal was likely used to access and analyze mutation data for KMT2C and KMT2D in breast cancer patient samples, particularly from TCGA datasets. The platform was used to identify mutation frequencies (10-20% collectively) and to correlate mutation status with transcriptome data and clinical subtypes. The integration of mutation data with gene expression, ChIP-seq, and chromatin accessibility data suggests cBioPortal served as a primary source for genomic and clinical annotations of breast cancer samples.",['TCGA breast cancer'],medium,41062612,Contrasting roles of KMT2C and KMT2D in breast cancer.,2025,2025-12-19T01:49:10.599101
"['Mutation analysis', 'Gene expression analysis', 'Pathway analysis']",['Breast cancer'],"['Biomarker discovery', 'Immunotherapy', 'Pathway analysis']",['Original research'],"['MSK-IMPACT', 'Custom/Private data']","cBioPortal was used to query the MSK-IMPACT platform data to determine the somatic mutation frequency of STK11 in breast cancer patients. The authors found that STK11 mutations occur in 1.9% of 3116 breast cancer cases in the MSK-IMPACT dataset, which provided the rationale for investigating the role of STK11 suppression in breast cancer tumor-immune interactions.",['MSK-IMPACT'],high,41051525,Suppression of STK11 induces expansion of polymorphonuclear myeloid-derived suppressive cells and activation of immune signaling in breast cancer.,2025,2025-12-19T01:49:15.724584
"['Copy number analysis', 'Gene expression analysis', 'Pathway analysis', 'Multi-omics integration', 'Survival analysis']",['Other solid tumor'],"['Methods/Tools development', 'Pathway analysis', 'Biomarker discovery']","['Methods/Software', 'Original research']",['TCGA'],"Based on the abstract and introduction provided, there is no explicit mention of cBioPortal usage in this study. The paper describes MPAC, a computational framework for multi-omic pathway analysis, and demonstrates it using TCGA head and neck squamous cell carcinoma data (DNA copy number and RNA-seq). While the paper cites cBioPortal, the specific usage details are not described in the provided text.",['TCGA-HNSC'],low,41046136,MPAC: a computational framework for inferring pathway activities from multi-omic data.,2025,2025-12-19T01:49:22.169396
"['Mutation analysis', 'Copy number analysis', 'Gene expression analysis', 'Survival analysis', 'Pathway analysis', 'Multi-omics integration']",['Breast cancer'],"['Biomarker discovery', 'Drug response/resistance', 'Pathway analysis', 'Immunotherapy', 'Precision medicine']",['Original research'],['Multiple sources'],"cBioPortal was used to investigate genetic alterations in WNT family genes in breast cancer, including analysis of mutation patterns and copy number alterations (amplifications). The platform was also used to examine the correlation between WNT gene alterations and immune infiltration as well as immunotherapy-related biomarkers. Additionally, cBioPortal data contributed to the multi-omics analysis alongside DNA methylation data from SMART database and drug sensitivity data from GSCA database.",['TCGA-BRCA'],high,41044153,Comprehensive bioinformatics analysis reveals prognostic significance and immunological roles of WNT gene family in breast cancer.,2025,2025-12-19T01:49:28.022135
"['Multi-omics integration', 'Gene expression analysis', 'Mutation analysis', 'Copy number analysis']",['Pan-cancer'],"['Database/Resource', 'Methods/Tools development', 'Precision medicine']","['Methods/Software', 'Original research']",['Multiple sources'],"Based on the provided abstract and introduction, there is no explicit mention of cBioPortal usage in this study. TumorXDB appears to be an independent database platform that integrates xWAS/xQTL data from various sources. While the paper cites cBioPortal, the specific usage details are not described in the provided text, suggesting it may be cited as a related resource or for comparison purposes rather than as a primary data source or analysis tool.",[],low,41029863,TumorXDB: an integrated multi-omics xWAS/xQTL platform for cross-ethnic pan-cancer analysis.,2025,2025-12-19T01:49:34.316302
['Gene expression analysis'],['Breast cancer'],['Methods/Tools development'],"['Methods/Software', 'Original research']",['Custom/Private data'],"Based on the abstract and introduction provided, there is no explicit mention of cBioPortal usage in this study. The paper focuses on developing PREFFECT, a computational tool for analyzing FFPE RNA-seq data, and evaluates it on fRNA-seq datasets. cBioPortal may only be cited in the references without direct usage in the methodology or analysis.",[],low,41029822,Generative and integrative modeling for transcriptomics with formalin fixed paraffin embedded material.,2025,2025-12-19T01:49:40.001041
"['Gene expression analysis', 'Mutation analysis', 'Pathway analysis']","['Pan-cancer', 'Prostate cancer', 'Lung cancer']","['Drug response/resistance', 'Tumor evolution', 'Review/Commentary']",['Review'],['Not specified'],"This is a review paper on lineage plasticity and histological transformation in cancer. While cBioPortal is cited, the abstract and introduction do not provide specific details about how cBioPortal data was used in the review. The paper likely references cBioPortal as a source for genomic data related to tumor transformation events, particularly in prostate and lung cancers, but specific usage details are not evident from the provided text.",[],low,41023204,Lineage plasticity and histological transformation: tumor histology as a spectrum.,2025,2025-12-19T01:49:45.933112
"['Gene expression analysis', 'Survival analysis', 'Pathway analysis', 'Multi-omics integration']",['Pan-cancer'],"['Biomarker discovery', 'Immunotherapy', 'Drug response/resistance']",['Original research'],"['TCGA', 'Multiple sources']","The paper integrated multi-omics data from TCGA and other databases to investigate PSMB9's role across cancers. While cBioPortal is cited as a cancer genomics portal, the abstract does not provide explicit details about specific analyses performed using cBioPortal. The study likely used cBioPortal to access and analyze TCGA data for gene expression, clinical correlations, and immune landscape characterization across multiple cancer types.",[],medium,41020834,PSMB9 Orchestrates Tumor Immune Landscape and Serves as a Potent Biomarker for Prognosis and T Cell-Based Immunotherapy Response.,2025,2025-12-19T01:49:52.001948
